100 3000 10
73 47 73 46
88 51 89 51
53 71 53 72
23 48 23 49
33 40 33 39
91 51 92 51
85 16 86 16
58 90 59 90
13 28 13 29
44 71 43 71
21 50 20 50
12 19 12 20
77 56 76 56
9 34 10 34
48 11 47 11
93 50 93 51
79 84 79 83
92 77 91 77
23 82 23 83
57 2 58 2
85 67 85 66
25 5 26 5
79 22 78 22
47 31 46 31
21 12 21 11
52 46 52 47
52 76 53 76
67 2 66 2
12 71 12 70
93 72 93 71
45 36 46 36
78 25 78 26
52 74 51 74
34 23 34 24
65 14 64 14
65 38 65 37
15 66 15 65
69 74 69 73
89 57 89 58
73 62 74 62
97 44 97 45
88 59 87 59
62 15 62 14
9 49 10 49
87 90 88 90
41 53 41 52
67 69 66 69
90 34 91 34
37 12 37 13
87 96 87 95
10 71 11 71
61 41 61 40
28 74 28 73
24 96 25 96
64 95 65 95
31 95 32 95
34 27 35 27
26 32 26 31
20 14 19 14
11 87 11 88
79 1 78 1
62 48 62 47
64 74 64 73
63 24 63 23
51 29 52 29
7 68 7 69
62 70 61 70
65 45 65 46
88 23 88 24
16 90 16 91
41 89 40 89
2 87 3 87
49 75 48 75
42 47 42 46
24 71 24 70
31 35 31 36
79 44 79 43
24 64 24 65
27 54 27 53
47 52 47 51
58 24 59 24
74 88 75 88
13 93 13 92
31 72 31 73
49 26 50 26
95 20 95 21
2 23 2 24
64 18 64 17
63 39 63 38
72 73 71 73
51 13 52 13
8 28 8 27
61 81 60 81
58 96 58 95
34 47 34 46
72 72 72 71
45 3 45 4
16 45 17 45
74 74 75 74
37 46 37 45
87 66 87 67
95 58 94 58
49 79 49 78
60 81 61 81
22 82 22 81
54 81 54 82
10 11 11 11
44 30 44 29
41 84 41 83
91 35 91 36
35 57 35 56
96 76 96 77
53 22 54 22
3 17 4 17
85 33 84 33
27 22 27 23
14 13 13 13
61 71 60 71
4 51 3 51
14 34 15 34
11 84 11 85
40 30 41 30
95 37 95 38
81 17 82 17
68 22 67 22
5 85 5 84
42 61 42 62
70 35 70 36
18 90 19 90
76 77 76 78
81 96 81 97
68 82 68 81
45 62 46 62
12 57 12 56
47 53 47 52
20 39 19 39
1 67 2 67
45 37 45 38
69 2 69 3
97 62 97 61
2 56 2 55
77 30 76 30
71 48 72 48
53 72 53 73
51 32 52 32
92 95 92 96
49 29 49 28
11 55 12 55
67 98 67 97
37 84 37 83
53 25 52 25
24 18 24 17
15 82 15 83
80 58 80 57
90 80 90 81
25 42 24 42
20 7 19 7
24 14 24 13
35 17 35 18
94 2 95 2
12 20 11 20
64 28 64 27
54 40 54 41
48 60 47 60
43 11 44 11
8 35 8 36
10 70 10 71
24 25 24 24
49 2 48 2
92 32 92 33
57 32 56 32
26 59 25 59
67 86 68 86
61 50 61 49
42 21 41 21
96 71 95 71
33 62 33 61
26 47 25 47
86 28 85 28
31 82 31 83
42 2 43 2
36 75 35 75
51 32 50 32
6 75 6 76
89 77 90 77
48 12 49 12
21 64 20 64
88 80 88 79
98 81 97 81
8 46 9 46
90 69 89 69
17 63 18 63
41 72 41 71
57 94 58 94
3 89 3 90
46 93 47 93
33 6 33 7
91 57 91 56
70 90 70 91
25 73 26 73
70 45 70 44
94 60 94 59
77 71 78 71
9 68 10 68
58 38 58 37
70 47 70 48
1 82 1 83
94 24 93 24
80 47 81 47
42 93 41 93
85 69 85 70
25 68 25 69
71 20 71 19
42 53 42 52
15 13 14 13
6 17 7 17
5 26 4 26
63 25 62 25
5 74 5 75
85 63 85 62
7 47 8 47
78 92 77 92
2 27 2 28
11 60 10 60
47 72 47 73
48 91 47 91
79 35 78 35
94 10 94 9
10 28 9 28
13 93 14 93
69 50 70 50
25 68 26 68
73 81 74 81
72 96 72 97
96 14 96 13
87 59 87 60
14 22 15 22
71 52 71 51
85 21 85 22
46 41 46 40
48 53 48 54
93 42 94 42
73 70 74 70
49 71 49 70
47 58 47 59
51 1 50 1
37 77 36 77
67 18 67 17
1 39 2 39
28 41 27 41
89 36 90 36
13 5 13 6
46 20 47 20
34 47 35 47
30 33 30 32
12 74 12 75
73 28 72 28
93 42 93 43
23 63 22 63
77 83 77 82
5 94 5 95
11 8 11 7
45 56 45 57
16 30 15 30
82 81 82 82
7 40 6 40
41 70 42 70
42 65 43 65
20 7 20 8
58 97 57 97
29 56 29 55
51 19 52 19
44 11 44 12
74 96 73 96
71 52 71 51
11 52 11 53
90 17 91 17
62 72 63 72
63 51 64 51
72 79 73 79
32 10 32 9
56 42 55 42
15 86 15 87
55 47 55 46
25 42 25 41
77 84 76 84
40 22 40 21
79 57 80 57
57 6 58 6
26 88 26 87
20 97 19 97
15 95 14 95
32 80 33 80
37 2 37 1
89 15 89 14
58 61 57 61
43 27 44 27
27 70 27 69
71 62 72 62
89 90 88 90
49 75 48 75
33 22 32 22
37 26 37 25
7 60 6 60
9 50 9 49
85 85 85 84
14 3 14 2
84 50 85 50
49 66 48 66
41 63 40 63
24 26 24 27
72 92 71 92
6 32 6 31
43 63 43 64
96 21 95 21
45 88 45 87
46 81 46 80
31 65 31 64
8 81 8 80
50 4 50 3
29 20 29 19
51 85 52 85
12 94 12 95
67 87 68 87
54 31 55 31
55 40 55 39
58 70 59 70
27 84 28 84
75 70 76 70
18 40 19 40
56 19 57 19
41 9 40 9
24 41 25 41
94 4 94 3
53 53 53 52
57 96 57 95
20 25 19 25
17 24 16 24
98 79 98 78
78 73 79 73
77 30 78 30
88 4 88 3
11 89 11 90
18 65 18 66
92 84 92 83
24 50 24 51
61 18 62 18
25 29 24 29
53 98 52 98
35 53 36 53
96 86 97 86
97 27 96 27
23 57 23 58
89 42 89 43
32 55 32 56
6 78 6 79
93 41 93 42
79 96 78 96
67 14 67 15
59 6 60 6
67 69 67 70
95 6 95 7
67 98 66 98
25 38 25 39
51 39 51 38
60 22 60 23
38 79 37 79
89 67 90 67
60 83 60 84
12 93 11 93
24 75 25 75
51 53 51 52
58 4 59 4
59 76 60 76
59 12 59 11
42 89 43 89
92 94 91 94
12 15 12 16
82 47 81 47
68 91 68 92
94 66 95 66
49 71 49 72
6 22 6 21
73 85 74 85
21 19 22 19
92 7 92 8
40 40 40 41
37 81 38 81
16 17 17 17
1 80 1 79
2 59 2 60
64 70 63 70
78 64 79 64
28 76 28 77
59 53 59 54
11 77 10 77
32 71 32 70
80 81 81 81
7 24 8 24
8 84 8 83
5 19 4 19
86 74 86 73
43 12 42 12
14 54 15 54
21 87 21 86
79 85 80 85
59 96 59 95
5 12 5 11
42 48 42 49
9 98 9 99
71 9 71 8
61 18 60 18
89 36 89 35
68 53 69 53
90 27 89 27
14 74 13 74
62 93 62 92
55 78 55 77
34 68 34 67
17 79 17 80
67 94 67 95
64 24 65 24
91 38 92 38
1 16 0 16
60 81 59 81
95 27 95 28
53 6 53 5
45 72 46 72
2 82 3 82
89 37 89 36
9 40 9 39
65 71 65 70
1 15 1 14
44 51 43 51
23 25 23 24
44 87 44 88
61 5 62 5
62 20 62 21
69 43 69 44
53 96 52 96
67 39 67 38
72 69 71 69
27 74 27 73
46 9 47 9
36 4 36 3
49 81 50 81
74 78 74 79
24 77 23 77
97 40 97 39
91 5 91 4
53 12 53 13
31 48 31 49
39 28 39 27
23 15 23 14
5 26 4 26
57 65 56 65
62 65 63 65
25 44 25 45
94 68 94 67
42 19 41 19
67 87 68 87
27 93 26 93
59 50 58 50
1 40 0 40
88 77 87 77
43 60 42 60
14 67 14 66
3 74 3 73
82 27 82 26
26 25 26 24
36 69 36 68
57 86 56 86
35 20 36 20
36 15 35 15
80 72 79 72
27 70 27 69
71 41 71 40
19 91 19 90
74 32 75 32
10 40 10 39
70 57 69 57
17 4 17 5
87 7 86 7
50 7 49 7
55 51 56 51
91 77 91 78
79 46 79 45
43 26 42 26
97 98 97 99
73 17 72 17
90 60 89 60
59 40 59 41
61 30 62 30
19 79 19 78
47 51 48 51
90 86 90 85
42 59 42 60
4 9 4 10
15 45 15 46
60 22 60 21
45 78 46 78
66 14 66 15
92 14 92 13
72 84 71 84
39 69 39 70
52 76 52 77
31 80 32 80
71 21 71 22
50 9 50 8
27 89 27 90
56 73 56 72
70 89 71 89
23 85 22 85
95 92 95 93
15 76 15 77
42 72 41 72
57 23 57 22
52 9 51 9
88 77 88 78
42 64 41 64
12 28 13 28
75 97 74 97
97 19 98 19
58 69 58 68
50 79 50 80
26 27 26 26
39 73 39 72
56 92 56 91
12 75 11 75
79 66 79 67
17 38 16 38
48 71 47 71
1 91 1 90
15 37 14 37
31 56 31 57
81 41 81 42
52 49 52 50
70 28 71 28
61 18 62 18
72 50 72 49
54 20 54 19
86 17 87 17
2 10 1 10
19 93 19 94
85 56 86 56
11 18 11 19
59 90 59 91
80 24 80 25
66 55 66 56
50 46 51 46
24 55 23 55
74 64 75 64
92 65 92 64
53 70 53 69
5 5 5 6
91 48 90 48
75 62 74 62
19 94 19 93
60 67 59 67
67 79 66 79
32 61 31 61
88 82 88 81
79 7 79 6
69 2 69 3
59 66 59 67
74 94 74 93
54 46 54 45
38 22 37 22
89 77 89 76
94 73 94 72
8 81 8 82
75 22 74 22
85 38 84 38
37 63 36 63
17 65 16 65
36 33 37 33
79 36 79 35
33 2 32 2
78 23 79 23
85 58 85 57
23 34 24 34
63 24 62 24
44 11 45 11
77 20 77 21
97 53 97 54
31 85 31 86
93 82 94 82
27 74 27 73
7 83 7 82
97 15 96 15
22 60 22 61
61 39 61 40
96 97 97 97
49 88 49 89
61 34 62 34
68 56 67 56
37 58 37 59
87 41 86 41
13 69 13 68
56 79 56 78
43 35 43 34
13 33 13 34
60 87 61 87
94 87 95 87
67 44 68 44
41 71 40 71
87 2 86 2
2 53 1 53
68 14 68 15
45 29 45 28
33 25 32 25
4 80 3 80
8 77 9 77
77 82 76 82
91 16 90 16
78 17 78 18
85 98 86 98
15 90 16 90
33 38 33 39
85 10 85 11
36 55 36 54
33 21 32 21
36 8 36 9
50 43 49 43
34 34 35 34
57 9 57 10
26 79 26 80
23 83 23 84
14 19 14 20
28 79 27 79
57 92 57 91
14 5 13 5
10 74 10 73
58 3 58 4
20 84 19 84
5 86 5 87
35 20 35 19
51 74 50 74
66 91 66 92
62 56 62 57
94 9 95 9
1 50 1 51
16 73 16 72
43 88 43 87
52 8 51 8
47 69 47 68
11 59 11 58
83 26 84 26
71 6 71 7
85 25 85 24
90 50 89 50
81 89 81 88
63 11 63 12
95 25 96 25
5 25 4 25
93 76 94 76
63 50 62 50
70 83 70 82
64 69 64 70
3 5 3 4
8 44 7 44
52 16 53 16
84 86 84 87
87 69 88 69
95 75 96 75
10 5 11 5
63 84 62 84
61 80 60 80
32 90 33 90
2 23 1 23
40 13 40 14
79 22 78 22
14 15 14 16
77 79 78 79
9 26 9 27
44 95 44 96
42 16 43 16
42 28 41 28
76 23 76 22
9 16 9 15
19 97 19 98
22 90 22 89
71 22 71 23
32 75 31 75
18 13 18 14
21 3 21 4
11 1 10 1
23 12 23 11
54 89 54 90
89 17 90 17
19 82 19 81
67 58 67 59
31 23 30 23
77 24 77 25
79 12 79 11
45 54 44 54
72 31 73 31
16 68 15 68
80 47 81 47
60 81 61 81
36 7 37 7
15 20 15 21
64 23 65 23
86 6 85 6
83 47 83 46
27 56 27 55
43 79 43 80
6 14 5 14
69 23 70 23
4 63 3 63
10 31 10 32
76 75 76 74
54 26 54 25
30 15 30 14
30 13 31 13
95 53 96 53
49 29 48 29
61 75 61 76
7 56 8 56
28 79 28 80
23 50 23 49
18 59 19 59
81 46 81 45
26 43 27 43
5 89 4 89
36 18 35 18
60 59 60 60
22 98 22 97
29 38 30 38
82 79 83 79
74 71 75 71
12 53 12 54
28 76 28 77
60 36 59 36
94 55 95 55
32 42 32 43
75 29 76 29
74 1 74 2
6 6 6 7
94 65 93 65
55 68 55 69
62 90 61 90
58 64 59 64
11 72 10 72
89 94 89 95
28 17 28 16
38 31 37 31
3 62 3 61
21 91 21 92
74 96 73 96
59 60 60 60
91 52 92 52
48 81 48 82
91 82 90 82
81 10 81 11
89 43 88 43
38 55 38 54
90 79 91 79
88 11 88 10
95 8 95 7
7 15 7 16
47 60 46 60
47 47 48 47
83 72 82 72
72 91 73 91
18 43 19 43
70 15 70 16
95 97 96 97
97 96 98 96
42 46 42 45
65 88 65 89
36 7 35 7
48 45 48 46
63 65 62 65
61 91 61 90
58 80 58 79
87 89 86 89
25 59 24 59
11 51 12 51
37 10 36 10
22 36 21 36
90 19 90 20
20 27 19 27
38 54 39 54
61 45 61 46
57 95 56 95
38 25 37 25
3 30 3 29
53 75 53 74
84 83 84 82
63 76 63 77
59 39 60 39
40 22 40 21
30 62 30 61
37 7 38 7
46 37 46 38
22 80 23 80
92 69 92 68
24 23 25 23
21 31 20 31
6 41 7 41
57 34 57 33
24 27 23 27
86 41 86 40
19 48 19 49
70 21 70 20
16 4 16 5
64 19 64 20
41 20 40 20
95 70 95 69
83 91 83 90
61 38 62 38
73 94 73 95
44 89 43 89
94 62 93 62
18 87 17 87
40 4 40 5
80 29 80 30
46 12 46 11
8 78 9 78
75 68 76 68
36 26 35 26
11 69 11 70
87 86 86 86
66 51 67 51
63 41 62 41
86 47 86 48
19 92 19 93
48 50 48 49
2 37 2 36
45 40 45 41
72 12 73 12
94 57 94 58
57 37 58 37
94 55 94 56
18 76 17 76
19 27 19 26
61 68 61 67
9 76 9 77
12 1 12 2
82 35 82 36
23 72 23 73
91 73 92 73
26 24 26 25
38 71 38 72
6 39 6 38
64 72 64 73
29 4 28 4
20 34 20 33
82 82 82 83
16 84 16 83
54 23 54 24
89 83 90 83
4 16 4 15
64 9 64 8
75 62 75 63
34 81 34 82
89 16 89 15
66 94 65 94
34 21 33 21
19 41 19 42
89 18 89 17
21 7 21 6
47 54 47 53
7 38 7 37
68 82 67 82
66 25 67 25
98 13 99 13
70 42 70 41
88 39 88 38
88 90 88 89
13 69 13 68
19 2 20 2
67 37 67 36
63 53 63 52
21 14 22 14
20 65 21 65
25 72 24 72
54 59 53 59
15 17 14 17
62 45 62 44
89 47 90 47
57 77 57 76
23 91 23 90
4 96 3 96
29 17 30 17
89 30 89 29
17 27 18 27
11 55 10 55
10 3 10 4
97 56 96 56
26 14 25 14
85 66 84 66
61 16 61 15
6 9 6 8
86 2 85 2
16 78 17 78
76 26 77 26
86 45 85 45
12 19 12 18
75 45 75 44
21 65 22 65
65 73 64 73
13 75 12 75
68 28 69 28
37 22 36 22
93 13 94 13
65 91 65 92
47 90 48 90
57 87 56 87
24 46 24 47
55 28 56 28
53 15 53 14
16 60 15 60
67 18 67 19
98 47 98 46
72 93 71 93
11 42 11 43
15 50 15 49
59 77 59 76
88 57 89 57
71 53 71 52
55 25 54 25
61 87 61 86
23 2 23 3
87 14 87 15
57 67 56 67
16 19 16 20
52 89 51 89
95 22 94 22
47 26 47 25
26 77 26 78
16 30 16 31
93 64 93 63
98 92 98 91
97 83 97 84
46 61 46 62
63 66 63 65
19 59 18 59
16 33 16 34
64 30 65 30
4 13 3 13
9 64 8 64
23 49 23 48
20 39 19 39
98 10 98 11
60 26 60 25
85 64 85 65
65 34 65 33
70 70 69 70
98 5 98 6
16 50 16 51
41 49 41 50
59 5 58 5
23 72 23 71
91 22 91 23
56 18 56 17
92 50 92 51
98 15 98 16
85 71 85 72
61 72 62 72
65 8 65 9
34 64 34 65
79 87 79 86
37 42 36 42
4 76 3 76
17 47 17 46
95 75 94 75
98 81 98 80
49 13 49 14
45 46 45 47
45 8 46 8
32 31 32 30
76 11 75 11
40 15 40 14
22 3 22 2
5 59 5 60
73 66 73 67
35 3 35 4
76 3 76 2
49 74 49 75
42 74 41 74
63 13 64 13
44 64 44 63
22 79 22 78
47 56 48 56
64 82 63 82
69 28 69 27
34 7 34 6
74 52 75 52
80 96 79 96
92 75 91 75
76 44 76 43
9 73 9 74
55 27 55 26
10 84 10 83
65 39 65 40
85 70 85 69
26 54 26 55
33 80 33 81
86 98 87 98
3 81 4 81
74 64 75 64
85 96 85 97
35 82 35 83
73 94 72 94
67 26 67 25
60 19 61 19
20 96 20 95
56 53 56 52
9 82 10 82
53 35 53 34
83 21 83 20
88 77 89 77
52 31 51 31
20 25 19 25
32 40 32 41
63 72 63 73
55 83 54 83
26 21 26 20
18 4 18 3
36 85 37 85
83 6 83 7
3 8 2 8
41 78 41 77
9 53 9 52
86 85 85 85
51 93 52 93
31 15 30 15
67 86 67 85
64 12 65 12
77 16 77 15
43 75 43 76
96 96 97 96
55 28 56 28
14 23 15 23
36 57 36 58
33 76 32 76
63 69 63 68
90 15 90 14
70 55 70 56
88 32 88 31
19 47 19 48
92 48 92 47
3 83 2 83
95 85 94 85
89 86 90 86
33 71 33 72
40 82 40 81
88 16 89 16
57 50 56 50
51 33 51 32
12 97 13 97
39 27 40 27
57 81 57 80
83 53 82 53
36 11 36 12
61 95 61 96
43 92 43 93
13 21 13 20
65 9 65 8
54 78 54 77
59 89 58 89
98 7 99 7
81 57 82 57
1 52 2 52
81 40 81 39
74 11 73 11
21 32 22 32
77 88 77 89
41 58 41 59
95 18 95 17
23 88 23 87
37 26 36 26
54 48 55 48
51 49 52 49
3 3 4 3
12 60 13 60
34 90 35 90
7 52 7 53
77 34 78 34
12 48 13 48
73 16 72 16
92 68 92 69
59 87 59 88
16 29 17 29
25 35 25 34
96 64 96 65
17 56 18 56
77 28 77 27
94 87 95 87
54 24 54 25
19 4 19 3
34 31 34 32
32 48 32 49
11 2 11 3
18 42 18 43
88 28 88 29
91 55 91 54
10 13 9 13
7 43 8 43
61 46 60 46
1 33 1 34
39 51 39 50
17 72 16 72
75 23 75 22
22 65 22 66
44 60 45 60
12 41 12 42
19 34 18 34
41 6 42 6
64 36 64 35
56 37 56 36
79 98 79 97
67 41 67 42
22 41 22 42
98 20 98 21
7 25 8 25
7 30 8 30
5 61 5 60
21 91 21 92
56 15 56 16
6 57 6 56
91 72 91 73
59 64 58 64
93 19 92 19
45 12 46 12
37 24 38 24
96 66 96 65
73 85 74 85
75 1 76 1
54 10 55 10
64 87 63 87
43 4 43 3
88 88 87 88
51 48 50 48
42 20 41 20
11 59 11 60
59 81 59 80
77 85 76 85
43 6 43 7
42 94 43 94
28 7 28 6
42 8 41 8
71 78 71 79
12 52 12 51
23 31 23 32
12 3 13 3
21 50 21 51
37 83 38 83
16 39 16 40
56 95 56 94
88 78 89 78
46 86 45 86
48 66 49 66
63 58 63 59
61 35 61 36
12 97 12 98
48 79 49 79
56 81 56 82
12 6 12 5
60 87 61 87
83 88 84 88
64 68 63 68
38 60 38 61
11 62 11 61
20 17 20 16
32 67 32 68
38 73 37 73
71 10 70 10
66 14 66 15
53 13 53 14
85 93 85 92
46 33 45 33
65 3 64 3
95 85 95 86
23 24 23 25
6 11 6 12
91 39 91 38
76 93 76 94
97 86 97 87
80 34 80 33
24 28 25 28
11 96 11 95
87 14 87 15
69 3 68 3
51 15 50 15
22 84 22 85
59 89 59 90
85 96 85 97
39 80 39 79
89 87 89 88
39 12 40 12
18 2 19 2
15 3 16 3
4 27 4 28
84 19 85 19
56 81 57 81
12 39 12 40
19 61 19 62
3 15 4 15
20 95 20 96
63 61 62 61
58 75 59 75
26 38 26 39
7 43 6 43
14 81 14 82
54 64 54 63
5 63 5 64
63 66 63 67
30 92 29 92
68 3 68 4
74 41 73 41
35 83 35 84
61 15 61 16
80 83 80 82
58 90 58 91
3 21 3 20
93 25 93 26
45 57 46 57
65 29 65 28
78 92 78 93
17 38 17 39
54 87 54 86
61 21 62 21
37 89 36 89
86 62 87 62
23 26 24 26
78 63 77 63
54 64 54 63
31 27 30 27
3 46 3 45
46 87 47 87
23 65 22 65
9 44 9 45
15 80 16 80
16 72 17 72
63 34 63 33
46 6 46 5
20 89 19 89
91 7 91 8
59 97 58 97
14 79 13 79
72 6 71 6
22 81 21 81
27 47 28 47
94 38 94 39
98 65 98 66
94 13 95 13
83 47 83 46
18 16 19 16
57 54 56 54
32 61 32 60
